,A,B,C,D,E
0,0.5262078668864394,0.5333602600624058,0.905308189700921,0.3781459699803116,0.5459189882983222
1,0.5381952861095537,0.057057225608616924,0.272144455169374,0.3646683363980636,0.8641924214007619
2,0.5605401013476067,0.7631485710406626,0.5367026748011431,0.3057185595122378,0.037469225334070266
3,0.9751506803345885,0.6290348619497094,0.7673104217216522,0.38707793216877406,0.09788989701546247
4,0.7093157324934333,0.14462748956361493,0.14627941251441356,0.6111595590912315,0.7722962302985363
5,0.31105047869807956,0.02715575139502935,0.378708769161751,0.033452179072077426,0.4246685282634096
6,0.9370079718227408,0.24442068306812703,0.047447032097494346,0.8756732116812873,0.8346848664586438
7,0.4257289788020078,0.43821887677740134,0.1564632606946802,0.3173584349585713,0.6659572595711116
8,0.6528365281811898,0.9560333695210538,0.6036848070432118,0.9319904952809496,0.42325332501029156
9,0.34124855411016397,0.5048408168641748,0.4033748663038824,0.3804915162041388,0.7073662873547899
10,0.10140705194143862,0.18195698661227133,0.3138450190623744,0.7457643971405105,0.713201157943373
11,0.8022262671428264,0.1407320438144446,0.11781548608077486,0.3793475171006302,0.27982686100339327
12,0.9789826752133483,0.8100297843657437,0.6561161285648257,0.017894304899487512,0.8438158992176996
13,0.5089634312827263,0.5675043600546872,0.430848493485833,0.7279303005633809,0.5077863436494029
14,0.2909763117897337,0.5777351541612925,0.7490721818614438,0.6399564351554726,0.3336018536098433
15,0.492659289072666,0.647557718209348,0.3946225761038189,0.18744315617923413,0.8428387142452697
16,0.16614197587294965,0.25242165214687073,0.3444165837865083,0.18751983045846754,0.38789064508075277
17,0.7281064346866499,0.22223832641319263,0.908370785028014,0.6754860435107055,0.9037622876173198
18,0.005094178929101134,0.3246640016682759,0.6697864729432355,0.7580366515734637,0.22768930713778057
19,0.8518139756636848,0.35098680351173794,0.9029904806536934,0.9255563326052701,0.06463589952126947
20,0.2391709436662084,0.346719262077854,0.38966398643999245,0.8077721224835994,0.6927244667734371
21,0.7391836032080392,0.5949095423490598,0.4323762942590006,0.4452466671958023,0.08761957234885298
22,0.785762347057163,0.20963332765549103,0.2114478858206814,0.12617850796903618,0.9938138382106174
23,0.0211467348595461,0.513578312306261,0.6734536987849248,0.17271068271829426,0.49569113126811615
24,0.7577649622483325,0.18139765847402567,0.9064959724875232,0.40849386261856535,0.3491524332022702
25,0.013477586284026732,0.37042453962557265,0.341757076287025,0.30338605118773787,0.3595213826241208
26,0.17602302832239758,0.01599329123468063,0.024856316678280144,0.24944093799023637,0.7556341552365968
27,0.06569263838140771,0.21263222742912757,0.8659833430632705,0.5027075748815878,0.7376327689866333
28,0.7522255625922878,0.1588759943830983,0.6683178428073845,0.003341249793549661,0.8297371294751561
29,0.9366530093203379,0.7391179423080193,0.6430309823350071,0.599348077073853,0.15632776774472068
30,0.37416865934232524,0.9406647112562636,0.5606987124257914,0.2563295670456418,0.5580480581843092
31,0.37043092522343235,0.7460493624020755,0.2698087822757337,0.6619963510617014,0.9187982899986838
32,0.3491962469472907,0.40151713653108057,0.2881447921822583,0.19609406624360337,0.21470341804199522
33,0.9526992523407979,0.7022866764001411,0.019760399947407303,0.44908907868566517,0.2358151103925331
34,0.2737211771988981,0.14475337601626703,0.2417492960456865,0.3726462572732162,0.2276430333266386
35,0.0554789340902484,0.21861094425420502,0.805294767228097,0.2969489463914623,0.04790157802199613
36,0.5366108651755634,0.6737592297706941,0.278330409329103,0.8892203055098,0.7654021435221905
37,0.16271552590638394,0.1468813294763851,0.45478976569454177,0.948233530824257,0.9360639364249277
38,0.5961874835454558,0.9749418040644334,0.5186936432251367,0.25906993665716616,0.39187984736695247
39,0.3389230290287625,0.47043292334732223,0.8123982878560042,0.3608003641152687,0.7881944535713353
40,0.6031152350525611,0.1522893641718851,0.9388489206964903,0.8915875265976458,0.05058662798975555
41,0.6958312209246219,0.13799950892426682,0.8014393904496219,0.7989920619956546,0.01966628396986958
42,0.37593515174660463,0.8858193428733357,0.20422353147280725,0.18636222414441828,0.39207845190516755
43,0.977002700228664,0.7579212748056414,0.20310945428546834,0.7731864910768667,0.32203758860588727
44,0.12415028079211943,0.20691078712029987,0.39438906856420375,0.8998844374597228,0.9834557777407446
45,0.22253035178273317,0.402426719706101,0.5963808940545076,0.0003877133645925346,0.5278759525692985
46,0.10431936257644858,0.3234164126689011,0.24411992546504535,0.8084484439563341,0.24096512969480632
47,0.9799449799702473,0.14371256333491988,0.2661799283130226,0.05760530796448016,0.9757038224957698
48,0.9064979201354627,0.19991970086956856,0.4871184262543974,0.7995231197553962,0.42035895043000737
49,0.5001268786293714,0.7859628825700146,0.5579799950326134,0.06662142744409316,0.6982954128903395
50,0.8453104519808251,0.4266503352671561,0.8829782656451214,0.6687594456747825,0.1459254094957838
51,0.6057531201927155,0.15934477921009071,0.5840790376576461,0.9042157734560524,0.6116184784937198
52,0.37319756330175535,0.5114274294140644,0.5591222209866382,0.33570622889095525,0.632778104813366
53,0.4020249728212928,0.6220961759827596,0.8704077002885358,0.5922518886479559,0.3130884513376836
54,0.025935790094931743,0.6442734855559539,0.33745265794476953,0.9820198190874325,0.41897395046817987
55,0.4380689828530091,0.5684382322209343,0.1623920481836627,0.61375739898728,0.6814532817404143
56,0.5022773462712415,0.6521253479260227,0.814224256951169,0.3733307029624665,0.01765227803588887
57,0.7281885588992535,0.6507008271247017,0.549149431333891,0.7522953632994784,0.35575386430420985
58,0.4900307256698462,0.06790009700105748,0.7614656573955764,0.06631222606350229,0.1575441110998168
59,0.12232142292398929,0.7155432947725344,0.5625034983422756,0.9859264482698195,0.5215419591326071
60,0.9567502094509199,0.10813683920226591,0.6409709436122611,0.8712148220941738,0.8666040423300094
61,0.945158705416414,0.4839742033921429,0.20962592612469721,0.31254922730654733,0.861144488803818
62,0.7788834499938615,0.036341909380171455,0.9785452271321272,0.8443337622300987,0.7681850690169707
63,0.6207838766323728,0.37227315206741896,0.3574116863920329,0.6552050679933786,0.585749151275155
64,0.06197233924464696,0.2313726907442344,0.763991666258689,0.16268529337661564,0.7932136592132282
65,0.8414206082862142,0.3011924234182689,0.7735460953887052,0.8763266622342468,0.8309253578491853
66,0.2963783397968701,0.7622070992902814,0.29886017787846053,0.7537376907882885,0.6839802924446906
67,0.38420999799695477,0.2589192193971057,0.9720835008575937,0.9405663125857191,0.311662495029445
68,0.8774344547215194,0.3731550436401164,0.6337156656505144,0.18713268473720934,0.9560240842393412
69,0.13776880032057714,0.27481042901162256,0.06938707168199842,0.021855988068433363,0.7992823535250763
70,0.3919404860147746,0.9714731157465537,0.2333290884341186,0.41778502391953753,0.03281980858690392
71,0.5209681421193536,0.48329395146296994,0.8960855860159075,0.33757250225293356,0.2947388660246788
72,0.9440922740487382,0.968264260572961,0.017839147342192607,0.10619134712749967,0.9418112204128026
73,0.20819744605452917,0.024066223956575206,0.9172704672424864,0.23377465879493087,0.9117647359946779
74,0.5899487785319888,0.38746414349082137,0.045514962103351264,0.998202933785907,0.7166052832018038
75,0.6864859836747377,0.7539057168007884,0.03400720105697441,0.02759488071470173,0.956050449903388
76,0.7836090679042449,0.4276478915294668,0.9593669784504492,0.6500373635150516,0.9492950706473345
77,0.5873883595672146,0.4980163667854509,0.6681165651853928,0.047993685755373994,0.4815679971944168
78,0.7891553093379996,0.14263507502907669,0.5384022623833459,0.46376868867052834,0.651824465081508
79,0.7829700064851529,0.48942116536545655,0.9211534446804207,0.3927485233421253,0.6199038126581832
80,0.11152225453128473,0.32204377993335265,0.8529237836754703,0.005159027354922241,0.9977647734198822
81,0.010928646694127298,0.17743942213878328,0.6351631758723704,0.2253520280321224,0.049334458924846
82,0.6006095543534554,0.529887324577637,0.6089977470975436,0.8495727634947555,0.61128343679412
83,0.43481126387297986,0.9961825837062578,0.7266661612204993,0.3119768403302733,0.1429002871891767
84,0.13401579016436227,0.5306306635467511,0.9778419203852811,0.10418821006770262,0.2628986482511776
85,0.7860265318740373,0.15586423974063768,0.337333510651988,0.2768004772378272,0.5899240463836928
86,0.19372236636509133,0.5326778052665115,0.5991868978759992,0.18892549610606058,0.1938267893592649
87,0.15720263913721744,0.07203080337683299,0.3557216215453388,0.4913965295852878,0.24700182753864475
88,0.7879252401049983,0.36561355544639884,0.4912063039405481,0.8215765650749919,0.4646133867537362
89,0.7106333718462455,0.18861703120570172,0.955266194873811,0.6246804956729408,0.33039716553745324
90,0.023230536574370242,0.906577981289594,0.41317695001475374,0.03382127622719544,0.5843469421882518
91,0.5622183987346662,0.5416976706845629,0.5849713053629897,0.5409239744704865,0.10000425185812112
92,0.9948379776594565,0.5578532631089763,0.3758147419481632,0.4295920496224428,0.42266293117212916
93,0.7332177964151596,0.38134042113158706,0.9402898059262893,0.7491671814528386,0.25985105893118665
94,0.7724840139786083,0.970206997584506,0.8472243582482325,0.6096259315863264,0.18303526471566212
95,0.7790999666263756,0.9111315291847907,0.37348599159312323,0.9073044235128388,0.11125925404792669
96,0.544978842063192,0.7214560341043502,0.2727253696336509,0.4575452685019229,0.027556464174692374
97,0.718188336391855,0.8805289033935806,0.20978712081968032,0.11505464031190604,0.5263908395058824
98,0.4105933157151178,0.9367384850326183,0.5541300773706188,0.7421651419482439,0.9863957629765793
99,0.7311240913783061,0.9174374044013641,0.9365536927650552,0.424637769158947,0.10888540853049355
100,0.343400477692993,0.2682277002223381,0.9789771657295352,0.9541799808193188,0.49438802466675646
101,0.11975227767233665,0.8773719029112568,0.05019924398279574,0.6272542240056703,0.3153934892937096
102,0.4761698857799934,0.055970716431371415,0.8935093750711939,0.43555722387723883,0.02924777467997597
103,0.2779411711972093,0.42106240473275713,0.8594838693660181,0.7277046761953827,0.07423393343545603
104,0.009186468704722839,0.8937978595559676,0.623684765683669,0.17054889837971354,0.34324390893153334
105,0.3195458812975198,0.5418132524829758,0.11946093064017704,0.6122567206682415,0.07889368906675609
106,0.4667854563115901,0.963551848903626,0.4056237987046768,0.6108361965059425,0.7832189780748412
107,0.7110658616846802,0.1256748706443197,0.04371091405137728,0.02445824587419687,0.6623828422016499
108,0.016004885734486107,0.3175820847994675,0.48701440358441095,0.3699281872909439,0.9172734908163533
109,0.14472712544611166,0.8471217035699301,0.2997817160030345,0.4571770986771285,0.9616157541377455
110,0.17923503534732588,0.8853783804957255,0.4868238743917622,0.5955584414283086,0.2244888773627156
111,0.34039728923459056,0.39840949400693604,0.7042264519338773,0.07177041609762369,0.09766951721680728
112,0.05013298883377393,0.1529765930790692,0.20015159660519966,0.7963269639994243,0.4266775085460437
113,0.5202871723571206,0.8516554107714986,0.8158171867524078,0.2282215697170078,0.8850071840072549
114,0.8105685924606629,0.3776798119834427,0.36570317480054904,0.16597099746189115,0.938547167641674
115,0.7392311992971821,0.07522358733238288,0.29990513103049776,0.1624615973220669,0.6176512386414666
116,0.41950116448223707,0.5368919741245193,0.7156420032744105,0.3165876948636782,0.2956032407982475
117,0.7366681934533369,0.38809852464196015,0.054188891911664094,0.8559501604191267,0.8913264163553782
118,0.9749312963934602,0.0924158124761546,0.8228749619800841,0.8683793675047607,0.6559483867896372
119,0.053197617008962195,0.3765255470348152,0.8163614201734225,0.675151651387775,0.24168678506273433
120,0.21304132863284964,0.7847195641343871,0.7445298907474006,0.06749990102931314,0.6563894447457205
121,0.5536210355488207,0.7917596370416295,0.08193037427557182,0.90654334708471,0.1117263584159911
122,0.6202655834410364,0.8760973703545318,0.14899836090033858,0.427891596203429,0.6680321408183834
123,0.08848528514011145,0.2729380689620823,0.4194640819219426,0.03824572443999319,0.04122151814618369
